id	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	1111112	2081	2081	3596	4162	3609	4163	5498	6243	5512	5512	6244	8324	7510	7219	7511	10405	9544	9082	11594
2	2081	1111112	2073	4147	2081	2081	3596	5489	4162	3609	4163	5498	6243	5512	5512	6244	8324	7510	7218	9544
3	2081	2073	1111112	2073	3595	2081	2081	3596	5497	4162	3609	4163	7495	6243	5512	5512	9528	8324	7510	10405
4	3596	4147	2073	1111112	5489	3595	2081	2081	7191	5497	4162	3609	9054	7495	6243	5512	10995	9528	8324	11579
5	4162	2081	3595	5489	1111112	2073	4147	6221	2081	2081	3596	5489	4162	3609	4163	5498	6243	5512	5512	7510
6	3609	2081	2081	3595	2073	1111112	2073	4147	3595	2081	2081	3596	5497	4162	3609	4163	7495	6243	5512	8324
7	4163	3596	2081	2081	4147	2073	1111112	2073	5489	3595	2081	2081	7191	5497	4162	3609	9054	7495	6243	9528
8	5498	5489	3596	2081	6221	4147	2073	1111112	7478	5489	3596	2081	9045	7191	5497	4162	10787	9054	7495	10995
9	6243	4162	5497	7191	2081	3595	5489	7478	1111112	2073	4147	6221	2081	2081	3596	5489	4162	3609	4163	5512
10	5512	3609	4162	5497	2081	2081	3595	5489	2073	1111112	2073	4147	3595	2081	2081	3596	5497	4162	3609	6243
11	5512	4163	3609	4162	3596	2081	2081	3596	4147	2073	1111112	2073	5489	3595	2081	2081	7191	5497	4162	7495
12	6244	5498	4163	3609	5489	3596	2081	2081	6221	4147	2073	1111112	7478	5489	3595	2081	9045	7191	5497	9054
13	8324	6243	7495	9054	4162	5497	7191	9045	2081	3595	5489	7478	1111112	2073	4147	6221	2081	2081	3596	3609
14	7510	5512	6243	7495	3609	4162	5497	7191	2081	2081	3595	5489	2073	1111112	2073	4147	3595	2081	2081	4162
15	7219	5512	5512	6243	4163	3609	4162	5497	3596	2081	2081	3595	4147	2073	1111112	2073	5489	3595	2081	5497
16	7511	6244	5512	5512	5498	4163	3609	4162	5489	3596	2081	2081	6221	4147	2073	1111112	7478	5489	3595	7191
17	10405	8324	9528	10995	6243	7495	9054	10787	4162	5497	7191	9045	2081	3595	5489	7478	1111112	2073	4147	2081
18	9544	7510	8324	9528	5512	6243	7495	9054	3609	4162	5497	7191	2081	2081	3595	5489	2073	1111112	2073	2081
19	9082	7218	7510	8324	5512	5512	6243	7495	4163	3609	4162	5497	3596	2081	2081	3595	4147	2073	1111112	3595
20	11594	9544	10405	11579	7510	8324	9528	10995	5512	6243	7495	9054	3609	4162	5497	7191	2081	2081	3595	1111112
