id	1	2	3	4	5	6	7	8	9	10	11
1	1111112	2081	2081	3596	4162	3609	4163	5498	6243	5512	5512
2	2081	1111112	2073	4147	2081	2081	3596	5489	4162	3609	4163
3	2081	2073	1111112	2073	3595	2081	2081	3596	5497	4162	3609
4	3596	4147	2073	1111112	5489	3595	2081	2081	7191	5497	4162
5	4162	2081	3595	5489	1111112	2073	4147	6221	2081	2081	3596
6	3609	2081	2081	3595	2073	1111112	2073	4147	3595	2081	2081
7	4163	3596	2081	2081	4147	2073	1111112	2073	5489	3595	2081
8	5498	5489	3596	2081	6221	4147	2073	1111112	7478	5489	3596
9	6243	4162	5497	7191	2081	3595	5489	7478	1111112	2073	4147
10	5512	3609	4162	5497	2081	2081	3595	5489	2073	1111112	2073
11	5512	4163	3609	4162	3596	2081	2081	3596	4147	2073	1111112
